PROPOSALID,TITLE,ABSTRACT,PROPOSALTYPE,PI,TARGET_ID,Source_Name,RA(J2000)(h m s),DEC(J2000)(d m s),Exposure_time(secs),PRIMARYINSTRUMENT
G06_137,UVIT Imaging of the Coma Cluster: The Fossil Record of Star Formation (Fields 3 and 5),"We propose multi-band UVIT imaging of three fields of the Coma cluster — the archetypal massive galaxy cluster in the nearby universe (d = 100 Mpc). Although a wealth of UV, optical and IR imaging, as well as optical spectroscopy, exists for the high- and intermediate-mass galaxies in this dense environment, the origin of their NUV emission remains uncertain (i.e., FUV-upturn leakage vs. residual star formation). Our proposed Astrosat GT06 observations, which require 43,995 sec (12.2 hrs) of open shutter time, will significantly improve upon the existing constraints from GALEX, on the UV emission in these galaxies by sampling the UV SEDs in four distinct wavelength regions — FUV-BaF2 (0.135-0.18µm), NUV-Silica (0.2-0.3µm), NUVB13 (0.23-0.26µm) and NUVB4 (0.25-0.28µm) — and by providing a three-fold improvement in the spatial resolution of the UV emission within individual galaxies.",Reg,pcote_nrc,T01,Coma3,12 57 08.62,27 21 44.7,5435.0,uvit2
G06_137,UVIT Imaging of the Coma Cluster: The Fossil Record of Star Formation (Fields 3 and 5),"We propose multi-band UVIT imaging of three fields of the Coma cluster — the archetypal massive galaxy cluster in the nearby universe (d = 100 Mpc). Although a wealth of UV, optical and IR imaging, as well as optical spectroscopy, exists for the high- and intermediate-mass galaxies in this dense environment, the origin of their NUV emission remains uncertain (i.e., FUV-upturn leakage vs. residual star formation). Our proposed Astrosat GT06 observations, which require 43,995 sec (12.2 hrs) of open shutter time, will significantly improve upon the existing constraints from GALEX, on the UV emission in these galaxies by sampling the UV SEDs in four distinct wavelength regions — FUV-BaF2 (0.135-0.18µm), NUV-Silica (0.2-0.3µm), NUVB13 (0.23-0.26µm) and NUVB4 (0.25-0.28µm) — and by providing a three-fold improvement in the spatial resolution of the UV emission within individual galaxies.",Reg,pcote_nrc,T02,Coma5,13 00 33.49,27 47 22.7,14725.0,uvit2
G06_138,UVIT Imaging of the Coma Cluster: The Fossil Record of Star Formation (Fields 3 and 7),"We propose multi-band UVIT imaging of three fields of the Coma cluster — the archetypal massive galaxy cluster in the nearby universe (d = 100 Mpc). Although a wealth of UV, optical and IR imaging, as well as optical spectroscopy, exists for the high- and intermediate-mass galaxies in this dense environment, the origin of their NUV emission remains uncertain (i.e., FUV-upturn leakage vs. residual star formation). Our proposed Astrosat GT06 observations, which require 43,995 sec (12.2 hrs) of open shutter time, will significantly improve upon the existing constraints from GALEX, on the UV emission in these galaxies by sampling the UV SEDs in four distinct wavelength regions — FUV-BaF2 (0.135-0.18µm), NUV-Silica (0.2-0.3µm), NUVB13 (0.23-0.26µm) and NUVB4 (0.25-0.28µm) — and by providing a three-fold improvement in the spatial resolution of the UV emission within individual galaxies.",Reg,pcote_nrc,T01,Coma3,12 57 08.62,27 21 44.7,9290.0,uvit2
G06_138,UVIT Imaging of the Coma Cluster: The Fossil Record of Star Formation (Fields 3 and 7),"We propose multi-band UVIT imaging of three fields of the Coma cluster — the archetypal massive galaxy cluster in the nearby universe (d = 100 Mpc). Although a wealth of UV, optical and IR imaging, as well as optical spectroscopy, exists for the high- and intermediate-mass galaxies in this dense environment, the origin of their NUV emission remains uncertain (i.e., FUV-upturn leakage vs. residual star formation). Our proposed Astrosat GT06 observations, which require 43,995 sec (12.2 hrs) of open shutter time, will significantly improve upon the existing constraints from GALEX, on the UV emission in these galaxies by sampling the UV SEDs in four distinct wavelength regions — FUV-BaF2 (0.135-0.18µm), NUV-Silica (0.2-0.3µm), NUVB13 (0.23-0.26µm) and NUVB4 (0.25-0.28µm) — and by providing a three-fold improvement in the spatial resolution of the UV emission within individual galaxies.",Reg,pcote_nrc,T03,Coma7,13 02 05.70,28 17 16.4,14725.0,uvit2
G06_139,Study of Galactic Structure using UVIT star counts,"The aim of this proposal is to investigate in detail the observed UV star counts obtained by UVIT-ASTROSAT vis-a-vis the model simulated catalogues produced by the Besancon model of stellar population synthesis in five Galactic directions, and to explore the potential for studying the structure of our Galaxy from images in multiple NUV and FUV filters of the UVIT. UV star counts will be dominated by MS stars, hot white dwarfs (WDs) and blue horizontal branch stars (BHBs), and hence will be very useful to separate out different stellar populations since we have several UV colours, which in turn will help us to estimate the structural parameters of the Galaxy with better precision. The population of WDs and BHBs is also integral to the study of stellar evolution and structure of the Milky Way as they belong to different stellar populations of the Galaxy.",Reg,dkojha,T01,GC47-43,21 51 2.8,-8 33 36.6,11530.0,uvit1
G06_139,Study of Galactic Structure using UVIT star counts,"The aim of this proposal is to investigate in detail the observed UV star counts obtained by UVIT-ASTROSAT vis-a-vis the model simulated catalogues produced by the Besancon model of stellar population synthesis in five Galactic directions, and to explore the potential for studying the structure of our Galaxy from images in multiple NUV and FUV filters of the UVIT. UV star counts will be dominated by MS stars, hot white dwarfs (WDs) and blue horizontal branch stars (BHBs), and hence will be very useful to separate out different stellar populations since we have several UV colours, which in turn will help us to estimate the structural parameters of the Galaxy with better precision. The population of WDs and BHBs is also integral to the study of stellar evolution and structure of the Milky Way as they belong to different stellar populations of the Galaxy.",Reg,dkojha,T02,GC146-46,1 57 50.0,13 00 00.0,11430.0,uvit1
G06_139,Study of Galactic Structure using UVIT star counts,"The aim of this proposal is to investigate in detail the observed UV star counts obtained by UVIT-ASTROSAT vis-a-vis the model simulated catalogues produced by the Besancon model of stellar population synthesis in five Galactic directions, and to explore the potential for studying the structure of our Galaxy from images in multiple NUV and FUV filters of the UVIT. UV star counts will be dominated by MS stars, hot white dwarfs (WDs) and blue horizontal branch stars (BHBs), and hence will be very useful to separate out different stellar populations since we have several UV colours, which in turn will help us to estimate the structural parameters of the Galaxy with better precision. The population of WDs and BHBs is also integral to the study of stellar evolution and structure of the Milky Way as they belong to different stellar populations of the Galaxy.",Reg,dkojha,T05,SGP,00 51 26.0,-27 07 42.0,11430.0,uvit1
G06_140,LAXPC Black Hole Binaries 4U 1957+115 [Standby / alternative],"4u 1957+115 is a variable source. Here we will study hard state, high soft state and suzaku obs indicate the most rapidly spinning black hole to be confirmed by SXT and LAXPC. Moreover 25 Hz QPO is detected by RXTE. Need further confirmation by LAXPC",Reg,jsyadav,T01,4U 1957+115,19 59 24.210,11 42 32.400,40000.0,laxpc1
G06_145,Detecting and monitoring the mineral atmosphere of the hot super-Earth HD 219134 b,"Hot, short-period transiting rocky exoplanets are particularly important because they offer the unique potential to probe the chemical composition of their evaporating rocky surfaces. Only 55 Cnc e and HD 219134 b orbit stars bright enough to allow detailed studies. These planets have lost their primary, H-dominated, and secondary, CO 2 -dominated, atmospheres. For HD 219134 b, the target of this proposal, sputtering is the most likely primary source of evaporation. We request ASTROSAT observations to detect and monitor for the first time a mineral atmosphere, measure its size, and probe the presence of Mg in the planetary exosphere. We have advanced 3D modelling, validated by in situ observations of Mercury, to comprehensively study the metal-rich corona surrounding the planet. These pioneering observations and study will open a new branch of exoplanetology by the direct analysis of minerals at the surface of exoplanets.",monitoring,girish,T01,HD 219134,23 13 16.976,57 10 6.082,9000.0,uvit2
G06_147,Revisiting Her X-1 : Is Energy of Cyclotron Line in Her X-1 Changing ?,"It is proposed to observe well known accreting X-ray binary Her X-1 with LAXPC and other X-ray instruments for 40 ks (and 10 ks of off-source background, near the source) to study in detail the characteristics of ~40 keV cyclotron absorption line. There is strong evidence that the line energy is shifting continuously to lower values. This proposal is aimed at accurate measurement of X-ray spectrum of Her X-1 to study in detail the line energy and its profile and try to establish if line energy is indeed changing.",Reg,jsyadav,T01,Her X-1,16 57 49.810,35 20 32.399,40000.0,laxpc1
G06_147,Revisiting Her X-1 : Is Energy of Cyclotron Line in Her X-1 Changing ?,"It is proposed to observe well known accreting X-ray binary Her X-1 with LAXPC and other X-ray instruments for 40 ks (and 10 ks of off-source background, near the source) to study in detail the characteristics of ~40 keV cyclotron absorption line. There is strong evidence that the line energy is shifting continuously to lower values. This proposal is aimed at accurate measurement of X-ray spectrum of Her X-1 to study in detail the line energy and its profile and try to establish if line energy is indeed changing.",Reg,jsyadav,T02,Bkg,17 8 0,37 0 0,10000.0,laxpc1
G06_151,Imaging the Hubble sequence - a Survey of Nearby Galaxies,"The Hubble classification scheme was based on morphology in the visible wavelengths. Galaxy surveys produce catalogs which are classified on this basis. The morphology relates to the mix of stellar populations in the galaxy, the amount of star formation activity, and the presence of gas and dust. Deep surveys turn up larger fractions of 'peculiar' morphology since they sample shorter rest wavelengths and are looking at younger galaxies. An understanding of the UV properties of galaxies in the nearby universe is essential for comparison with distant surveys. We propose imaging using multiple filters in UVIT, which would allow us to determine the slope of the SED in the FUV and NUV as well as sample emission line signatures of star formation. The superior resolution will map star forming knots more effectively compared to GALEX. The images will also showcase UVIT capability.",Reg,askpati,T01,NGC 628,01 36 41.78,15 47 0.60,13290.0,uvit1
G06_151,Imaging the Hubble sequence - a Survey of Nearby Galaxies,"The Hubble classification scheme was based on morphology in the visible wavelengths. Galaxy surveys produce catalogs which are classified on this basis. The morphology relates to the mix of stellar populations in the galaxy, the amount of star formation activity, and the presence of gas and dust. Deep surveys turn up larger fractions of 'peculiar' morphology since they sample shorter rest wavelengths and are looking at younger galaxies. An understanding of the UV properties of galaxies in the nearby universe is essential for comparison with distant surveys. We propose imaging using multiple filters in UVIT, which would allow us to determine the slope of the SED in the FUV and NUV as well as sample emission line signatures of star formation. The superior resolution will map star forming knots more effectively compared to GALEX. The images will also showcase UVIT capability.",Reg,askpati,T02,NGC 4228,12 15 32.93,36 17 01,11230.0,uvit1
G06_153,CZTI GT monitoring observations of Terzan 5,"Terzan 5, a globular cluster, harbours many transient X-ray binaries. Apart from occasional outbursts from such X-ray binaries, Terzan 5 shows an overall low-intensity X-ray variation with a time period of roughly two months. We propose to monitor such variation with AstroSat. We plan to observe the source three times with time gaps of 15 days, each time for 33 ks. This is a CZTI GT proposal.",monitoring,arrao,T01,Terzan 5,17 48 5.000,-24 46 48.000,99000.0,czt1
G06_154,Evolution of galaxies from filaments to clusters: the Coma Supercluster,"Galaxies progressively evolve from being blue, disc-dominated systems to red, passively evolving spheroids through interaction and merger, their star formation being turned on and off due to environmental effects. Most galaxies are formed on the cosmic web, in small systems, and most of their star formation episodes occur before they travel down filaments and get assimilated in rich clusters at the crossroads of these inter-cluster filaments of the web. Studies of galaxy formation and evolution, however, have mostly concentrated on rich fields and clusters. Instead, one needs to study the star formation and interaction histories of galaxies on filaments and in the infall regions of clusters to understand the evolution of galaxies.",Reg,kanak,T01,Coma B,12 58 51.0,+27 43 0.0,12030.0,uvit2
G06_154,Evolution of galaxies from filaments to clusters: the Coma Supercluster,"Galaxies progressively evolve from being blue, disc-dominated systems to red, passively evolving spheroids through interaction and merger, their star formation being turned on and off due to environmental effects. Most galaxies are formed on the cosmic web, in small systems, and most of their star formation episodes occur before they travel down filaments and get assimilated in rich clusters at the crossroads of these inter-cluster filaments of the web. Studies of galaxy formation and evolution, however, have mostly concentrated on rich fields and clusters. Instead, one needs to study the star formation and interaction histories of galaxies on filaments and in the infall regions of clusters to understand the evolution of galaxies.",Reg,kanak,T02,Coma C,12 58 0.0,+28 00 0.0,13230.0,uvit2
G06_154,Evolution of galaxies from filaments to clusters: the Coma Supercluster,"Galaxies progressively evolve from being blue, disc-dominated systems to red, passively evolving spheroids through interaction and merger, their star formation being turned on and off due to environmental effects. Most galaxies are formed on the cosmic web, in small systems, and most of their star formation episodes occur before they travel down filaments and get assimilated in rich clusters at the crossroads of these inter-cluster filaments of the web. Studies of galaxy formation and evolution, however, have mostly concentrated on rich fields and clusters. Instead, one needs to study the star formation and interaction histories of galaxies on filaments and in the infall regions of clusters to understand the evolution of galaxies.",Reg,kanak,T03,Abell1367A,11 44 36.5,+19 50 0.0,13240.0,uvit2
G06_154,Evolution of galaxies from filaments to clusters: the Coma Supercluster,"Galaxies progressively evolve from being blue, disc-dominated systems to red, passively evolving spheroids through interaction and merger, their star formation being turned on and off due to environmental effects. Most galaxies are formed on the cosmic web, in small systems, and most of their star formation episodes occur before they travel down filaments and get assimilated in rich clusters at the crossroads of these inter-cluster filaments of the web. Studies of galaxy formation and evolution, however, have mostly concentrated on rich fields and clusters. Instead, one needs to study the star formation and interaction histories of galaxies on filaments and in the infall regions of clusters to understand the evolution of galaxies.",Reg,kanak,T04,Abell1367B,11 44 50.0,+20 15 21.0,13660.0,uvit2
G06_157,Probing accretion disk and UV/X-ray connection in Seyfert 1 galaxies,"Some of the outstanding problems in study of Seyfert type AGN are (i) the origin of soft X-ray excess and the optical/UV emission and the connection between them, (ii) the nature of accretion disks. SXT along with Astrosat's simultaneous multi-wavelength capability provides a unique opportunity to investigate these problems. As a part of the SXT GT, we propose for AstroSat observations of a bright narrow-line Seyfert 1 galaxy Mrk~766 and a bare Seyfert 1 Fairall~9. Mrk~766 is well known for its strong soft X-ray excess and rapid variability. We will study the variability of the soft X-ray excess in relation to optical/UV and hard X-ray emission in Mrk~766. The bare Seyfert 1 galaxy Fairall 9 is a massive AGN with its accretion disk emission falling in the UVIT band. We will use the UVIT and SXT data to characterise the accretion disk emission from Fairall~9.",Reg,KPSingh19,T01,Fairall 9,1 23 45.748,-58 48 20.648,30000.0,sxt
G06_157,Probing accretion disk and UV/X-ray connection in Seyfert 1 galaxies,"Some of the outstanding problems in study of Seyfert type AGN are (i) the origin of soft X-ray excess and the optical/UV emission and the connection between them, (ii) the nature of accretion disks. SXT along with Astrosat's simultaneous multi-wavelength capability provides a unique opportunity to investigate these problems. As a part of the SXT GT, we propose for AstroSat observations of a bright narrow-line Seyfert 1 galaxy Mrk~766 and a bare Seyfert 1 Fairall~9. Mrk~766 is well known for its strong soft X-ray excess and rapid variability. We will study the variability of the soft X-ray excess in relation to optical/UV and hard X-ray emission in Mrk~766. The bare Seyfert 1 galaxy Fairall 9 is a massive AGN with its accretion disk emission falling in the UVIT band. We will use the UVIT and SXT data to characterise the accretion disk emission from Fairall~9.",Reg,KPSingh19,T02,Mrk766,12 18 26.484,29 48 46.150,50000.0,sxt
G06_159,Probing the soft X-ray excess and accretion disk/corona in Seyferts,"We aim to study some outstanding problems: origin of soft X-ray excess and the optical/UV emission and connection between them, nature of accretion disks, connection between optical/UV, reality of short-term X-ray absorption variability, possibility of truncated accretion disks in low luminosity AGN(LINERs) using Astrosat's simultaneous multiwavelength capability. The bright, nearby Seyferts - NGC~3998, RE1034+396, 1H0323+342, NGC4051, Mrk110, and NGC7469 will be observed to study the variability of the soft X-ray excess in relation to optical/UV and hard X-ray emission in narrow-line Seyfert 1 (NLS1) galaxies NGC4051, REJ1034+396, 1H0323+342, Mrk110, optical-to-hard X-ray SED, possibility of truncated accretion disk in the LINER NGC3998, and Disk-jet connection in the NLS1-Blazar 1H0323+342. Time delay study will lead to test the models for both the accretion disk and soft excess. The relationship between optical/UV and absorption-free hard X-ray emission above 10~keV will allow us to test thermal Comptonisation models with seeds as optical/UV disk photons.",Reg,KPSingh19,T02,NGC 4051,12 3 9.686,44 31 52.540,50000.0,sxt
G06_160,Accretion and Mass-loss Properties of Magellanic Cloud Supersoft Sources,"Supersoft X-ray sources (SSS) are highly luminous low-kT X-ray sources, interpreted as a accreting white dwarf  at a very high rate, leading to Eddington-limited, steady H-burning on the WD surface at T~15-80 eV. Reprocessing of this emission in the disc and companion leads to high optical/UV fluxes. Maintaining the high ${\dot{M}}_{\odot}$ requires either a high mass donor (for $P_{orb}>6$hrs) or extreme irradiation of a low-mass donor to drive a wind ($<$6hrs). There are two eclipsing SSS in the Magellanic Clouds: 1E0035.4-7230, also known as 2E0035.4-7229 (SMC, P=4.1h), CAL87 (LMC, P=10.6h) for which ASTROSAT is ideal for obtaining simultanoeus full-cycle orbital light-curves in the UV/soft X-rays for the first time, so as to model the disc, disc-wind and SSS components. This has the potential to resolve the controversy over whether the mass-ratio is inverted (high-mass donors) or similar to CVs (low-mass donors), and is important given their candidacy as SNIa progenitors.",Reg,KPSingh19,T01,2E0035.4-7229,0 37 19.001,-72 14 13.992,20000.0,sxt
G06_160,Accretion and Mass-loss Properties of Magellanic Cloud Supersoft Sources,"Supersoft X-ray sources (SSS) are highly luminous low-kT X-ray sources, interpreted as a accreting white dwarf  at a very high rate, leading to Eddington-limited, steady H-burning on the WD surface at T~15-80 eV. Reprocessing of this emission in the disc and companion leads to high optical/UV fluxes. Maintaining the high ${\dot{M}}_{\odot}$ requires either a high mass donor (for $P_{orb}>6$hrs) or extreme irradiation of a low-mass donor to drive a wind ($<$6hrs). There are two eclipsing SSS in the Magellanic Clouds: 1E0035.4-7230, also known as 2E0035.4-7229 (SMC, P=4.1h), CAL87 (LMC, P=10.6h) for which ASTROSAT is ideal for obtaining simultanoeus full-cycle orbital light-curves in the UV/soft X-rays for the first time, so as to model the disc, disc-wind and SSS components. This has the potential to resolve the controversy over whether the mass-ratio is inverted (high-mass donors) or similar to CVs (low-mass donors), and is important given their candidacy as SNIa progenitors.",Reg,KPSingh19,T02,CAL87,5 46 46.540,-71 8 53.902,30000.0,sxt
G06_164,Stellar flares from Star-Planet interaction,"Hot Jupiters are gas giants similar to Jupiter but with short orbital periods (< 10 days), small orbital radii (< 0.1 AU) and high surface temperatures. The hot Jupiter - host star systems owing to small separations are interesting test bed to understand the magnetic activity of the host stars and the subsequent energy pumped into the planetary atmospheres due to star-planet interaction. The planet induced magnetic activity of stars can produce stellar flares lasting several minutes doubling flux in UV/X-rays. Here we propose to observe host star of a hot Jupiter HD 68988 with UVIT and SXT on ASTROSAT for four date combinations of perigee and apogee. Our aim is to detect enhanced stellar flares when the star planet distance is at the minimum with a strong statistical significance. We hope to better understand the Star-Planet interaction induced stellar activity and the energy budget released to the planetary atmospheres.",monitoring,koshy,T01,HD 68988,8 18 22.18,61 27 38.52,67200.0,uvit1
G06_165,LAXPC observation of Cas A,This is a calibration requirement.  LAXPC instrument has purification system on-board which is activated as and when detector energy resolution degrades. Observation of CAS A is required to study energy resolution at 6.4 keV and plan operation of purification system.,Reg,jsyadav,T1,CAS A,23 23 27.94,+58 48 42.4,20000.0,laxpc1
G06_166,Rapid Buster (MXB 170-335) [Standby / aternative],"We are requesting 40 ksec observation of the Rapid Burster during highly active period (usually persists for ~ 2 months) when very frequent type I and type II X-ray bursts occurred. During the active period the source showed high X-ray variability similar to the heartbeat oscillations and theta class observed from the enigmatic Galactic micro-quasar GRS 1915+105. This implies that the X-ray variability observed from GRS 1915+105 is not unique to black hole nature of compact object. Using the 40 ksec exposure primarily with LAXPC, we will further investigate the origin of such high X-ray variability during active period in this source and perform a broadband spectral-timing comparative study with GRS 1915+105. With our results, we will also expect to constrain the accretion properties in both neutron star and black hole X-ray binaries. The occurrence period of next active state would be between January 2017 and March 2017.",Reg,jsyadav,T01,MXB 1730- 335,17 33 24.6,-33 23 19.63,40000.0,laxpc1
G06_167,H 1743-322 antocipated ToO,"It is black hole binary with frequent low level outbursts every year. We will study its spectrum in low hard and high soft state, qpo, time lag, spin etc. We expect outburst in this source during February-March 2017. We will have simultaneous observation from ground based observatories.",AToO,jsyadav,T01,h 1743-322,17 46 15.608,-32 14 0.600,20000.0,laxpc1
G06_168,Metallicity Mapping of Galactic Halo-UVIT filter indices and physical parameters of stars.,"We propose to map stars in the Galactic Halo, in various UVIT filters, in order to spatially map the halo metallicity. Such a study is important for understanding the formation of the Galactic Halo. We will also be surveying other major stellar constituents of the Halo through this survey. UVIT is uniquely suited for this purpose, not only because the strongest metal lines in late type stars occur in UV but also because UVIT filters are designed to sample these lines. Its wide field and spatial resolution are well suited for this purpose and can sample halo on both sides of the plane by the same set of instruments. The proposal has TWO parts: calibrations and survey of the Galactic Halo. In this proposal we would like to observe stars with a range in metallicity, Teff, log g and establish their relationship with various UVIT filter indices.",Reg,nkrao,T01,CS29503-0109,00 04 55.4,-24 24 19,570.0,uvit2
G06_168,Metallicity Mapping of Galactic Halo-UVIT filter indices and physical parameters of stars.,"We propose to map stars in the Galactic Halo, in various UVIT filters, in order to spatially map the halo metallicity. Such a study is important for understanding the formation of the Galactic Halo. We will also be surveying other major stellar constituents of the Halo through this survey. UVIT is uniquely suited for this purpose, not only because the strongest metal lines in late type stars occur in UV but also because UVIT filters are designed to sample these lines. Its wide field and spatial resolution are well suited for this purpose and can sample halo on both sides of the plane by the same set of instruments. The proposal has TWO parts: calibrations and survey of the Galactic Halo. In this proposal we would like to observe stars with a range in metallicity, Teff, log g and establish their relationship with various UVIT filter indices.",Reg,nkrao,T02,HD 3008,00 33 14.3,-10 43 43,1942.0,uvit2
G06_168,Metallicity Mapping of Galactic Halo-UVIT filter indices and physical parameters of stars.,"We propose to map stars in the Galactic Halo, in various UVIT filters, in order to spatially map the halo metallicity. Such a study is important for understanding the formation of the Galactic Halo. We will also be surveying other major stellar constituents of the Halo through this survey. UVIT is uniquely suited for this purpose, not only because the strongest metal lines in late type stars occur in UV but also because UVIT filters are designed to sample these lines. Its wide field and spatial resolution are well suited for this purpose and can sample halo on both sides of the plane by the same set of instruments. The proposal has TWO parts: calibrations and survey of the Galactic Halo. In this proposal we would like to observe stars with a range in metallicity, Teff, log g and establish their relationship with various UVIT filter indices.",Reg,nkrao,T04,HE0107-5240,01 09 29.1,-52 24 34,2469.0,uvit2
G06_168,Metallicity Mapping of Galactic Halo-UVIT filter indices and physical parameters of stars.,"We propose to map stars in the Galactic Halo, in various UVIT filters, in order to spatially map the halo metallicity. Such a study is important for understanding the formation of the Galactic Halo. We will also be surveying other major stellar constituents of the Halo through this survey. UVIT is uniquely suited for this purpose, not only because the strongest metal lines in late type stars occur in UV but also because UVIT filters are designed to sample these lines. Its wide field and spatial resolution are well suited for this purpose and can sample halo on both sides of the plane by the same set of instruments. The proposal has TWO parts: calibrations and survey of the Galactic Halo. In this proposal we would like to observe stars with a range in metallicity, Teff, log g and establish their relationship with various UVIT filter indices.",Reg,nkrao,T05,HE0134-1519,01 37 05.4,-15 04 24,1360.0,uvit2
G06_168,Metallicity Mapping of Galactic Halo-UVIT filter indices and physical parameters of stars.,"We propose to map stars in the Galactic Halo, in various UVIT filters, in order to spatially map the halo metallicity. Such a study is important for understanding the formation of the Galactic Halo. We will also be surveying other major stellar constituents of the Halo through this survey. UVIT is uniquely suited for this purpose, not only because the strongest metal lines in late type stars occur in UV but also because UVIT filters are designed to sample these lines. Its wide field and spatial resolution are well suited for this purpose and can sample halo on both sides of the plane by the same set of instruments. The proposal has TWO parts: calibrations and survey of the Galactic Halo. In this proposal we would like to observe stars with a range in metallicity, Teff, log g and establish their relationship with various UVIT filter indices.",Reg,nkrao,T07,SMSSJ0313-6708,03 13 00.4,-67 08 39,2154.0,uvit2
G06_168,Metallicity Mapping of Galactic Halo-UVIT filter indices and physical parameters of stars.,"We propose to map stars in the Galactic Halo, in various UVIT filters, in order to spatially map the halo metallicity. Such a study is important for understanding the formation of the Galactic Halo. We will also be surveying other major stellar constituents of the Halo through this survey. UVIT is uniquely suited for this purpose, not only because the strongest metal lines in late type stars occur in UV but also because UVIT filters are designed to sample these lines. Its wide field and spatial resolution are well suited for this purpose and can sample halo on both sides of the plane by the same set of instruments. The proposal has TWO parts: calibrations and survey of the Galactic Halo. In this proposal we would like to observe stars with a range in metallicity, Teff, log g and establish their relationship with various UVIT filter indices.",Reg,nkrao,T10,HE0557-48,10 29 15.2,+17 29 28,7466.0,uvit2
G06_168,Metallicity Mapping of Galactic Halo-UVIT filter indices and physical parameters of stars.,"We propose to map stars in the Galactic Halo, in various UVIT filters, in order to spatially map the halo metallicity. Such a study is important for understanding the formation of the Galactic Halo. We will also be surveying other major stellar constituents of the Halo through this survey. UVIT is uniquely suited for this purpose, not only because the strongest metal lines in late type stars occur in UV but also because UVIT filters are designed to sample these lines. Its wide field and spatial resolution are well suited for this purpose and can sample halo on both sides of the plane by the same set of instruments. The proposal has TWO parts: calibrations and survey of the Galactic Halo. In this proposal we would like to observe stars with a range in metallicity, Teff, log g and establish their relationship with various UVIT filter indices.",Reg,nkrao,T12,HD103723,11 56 36.0,-21 25 10,540.0,uvit2
G06_168,Metallicity Mapping of Galactic Halo-UVIT filter indices and physical parameters of stars.,"We propose to map stars in the Galactic Halo, in various UVIT filters, in order to spatially map the halo metallicity. Such a study is important for understanding the formation of the Galactic Halo. We will also be surveying other major stellar constituents of the Halo through this survey. UVIT is uniquely suited for this purpose, not only because the strongest metal lines in late type stars occur in UV but also because UVIT filters are designed to sample these lines. Its wide field and spatial resolution are well suited for this purpose and can sample halo on both sides of the plane by the same set of instruments. The proposal has TWO parts: calibrations and survey of the Galactic Halo. In this proposal we would like to observe stars with a range in metallicity, Teff, log g and establish their relationship with various UVIT filter indices.",Reg,nkrao,T13,SDSSJ1204+1201,12 04 41.4,+12 01 11.5,2600.0,uvit2
G06_168,Metallicity Mapping of Galactic Halo-UVIT filter indices and physical parameters of stars.,"We propose to map stars in the Galactic Halo, in various UVIT filters, in order to spatially map the halo metallicity. Such a study is important for understanding the formation of the Galactic Halo. We will also be surveying other major stellar constituents of the Halo through this survey. UVIT is uniquely suited for this purpose, not only because the strongest metal lines in late type stars occur in UV but also because UVIT filters are designed to sample these lines. Its wide field and spatial resolution are well suited for this purpose and can sample halo on both sides of the plane by the same set of instruments. The proposal has TWO parts: calibrations and survey of the Galactic Halo. In this proposal we would like to observe stars with a range in metallicity, Teff, log g and establish their relationship with various UVIT filter indices.",Reg,nkrao,T14,HD105004,12 05 24.9,-26 35 44,570.0,uvit2
G06_168,Metallicity Mapping of Galactic Halo-UVIT filter indices and physical parameters of stars.,"We propose to map stars in the Galactic Halo, in various UVIT filters, in order to spatially map the halo metallicity. Such a study is important for understanding the formation of the Galactic Halo. We will also be surveying other major stellar constituents of the Halo through this survey. UVIT is uniquely suited for this purpose, not only because the strongest metal lines in late type stars occur in UV but also because UVIT filters are designed to sample these lines. Its wide field and spatial resolution are well suited for this purpose and can sample halo on both sides of the plane by the same set of instruments. The proposal has TWO parts: calibrations and survey of the Galactic Halo. In this proposal we would like to observe stars with a range in metallicity, Teff, log g and establish their relationship with various UVIT filter indices.",Reg,nkrao,T15,HS1236+4754,12 39 05.1,+47 37 51,570.0,uvit2
G06_168,Metallicity Mapping of Galactic Halo-UVIT filter indices and physical parameters of stars.,"We propose to map stars in the Galactic Halo, in various UVIT filters, in order to spatially map the halo metallicity. Such a study is important for understanding the formation of the Galactic Halo. We will also be surveying other major stellar constituents of the Halo through this survey. UVIT is uniquely suited for this purpose, not only because the strongest metal lines in late type stars occur in UV but also because UVIT filters are designed to sample these lines. Its wide field and spatial resolution are well suited for this purpose and can sample halo on both sides of the plane by the same set of instruments. The proposal has TWO parts: calibrations and survey of the Galactic Halo. In this proposal we would like to observe stars with a range in metallicity, Teff, log g and establish their relationship with various UVIT filter indices.",Reg,nkrao,T16,J1248+61,12 48 27.1,+61 43 59,570.0,uvit2
G06_168,Metallicity Mapping of Galactic Halo-UVIT filter indices and physical parameters of stars.,"We propose to map stars in the Galactic Halo, in various UVIT filters, in order to spatially map the halo metallicity. Such a study is important for understanding the formation of the Galactic Halo. We will also be surveying other major stellar constituents of the Halo through this survey. UVIT is uniquely suited for this purpose, not only because the strongest metal lines in late type stars occur in UV but also because UVIT filters are designed to sample these lines. Its wide field and spatial resolution are well suited for this purpose and can sample halo on both sides of the plane by the same set of instruments. The proposal has TWO parts: calibrations and survey of the Galactic Halo. In this proposal we would like to observe stars with a range in metallicity, Teff, log g and establish their relationship with various UVIT filter indices.",Reg,nkrao,T18,BS16934-002,13 29 46.4,+16 15 39,570.0,uvit2
